stage,cpu_set,sample,prompt_tok_s,prompt_s
balancing-on,node0-logical16,A,37.054,235.361
balancing-on,node0-logical16,B,37.552,232.236
balancing-on,node1-logical16,A,23.872,365.32
balancing-on,node1-logical16,B,37.007,235.634
balancing-on,all-logical32,A,37.022,235.888
balancing-on,all-logical32,B,37.623,232.172
balancing-off,all-logical32,A,37.85,229.829
balancing-off,all-logical32,B,37.689,230.86
balancing-off,node1-logical16,A,37.434,232.785
balancing-off,node1-logical16,B,37.634,231.52
balancing-off,node0-logical16,A,37.149,234.542
balancing-off,node0-logical16,B,37.615,231.665
thread-matrix,node0-physical8-tb8,A,24.865,348.967
thread-matrix,node0-physical8-tb8,B,24.971,347.568
thread-matrix,node0-logical16-tb16,A,38.644,224.46
thread-matrix,node0-logical16-tb16,B,38.746,223.843
thread-matrix,both-sockets-physical16-tb16,A,38.116,227.593
thread-matrix,both-sockets-physical16-tb16,B,38.259,226.718
v4e-validation,node0-logical16,A,38.517,225.536
v4e-validation,node0-logical16,B,38.68,224.535
v4e-validation,node0-logical16,C,38.693,224.484
