load,mode,sample,prompt_tokens,prompt_tok_s,prompt_s,load_s
mmap-a,mmap,C,8686,38.832973386184264,223.675893,1380.5565562070005
mmap-a,mmap,B,8686,38.847921113835284,223.589828,1380.5565562070005
mmap-a,mmap,A,8685,38.72446162442193,224.276843,1380.5565562070005
mmap-b,mmap,A,8685,38.13329457333844,227.753728,1390.583870049999
mmap-b,mmap,B,8686,38.284009665659035,226.883236,1390.583870049999
mmap-b,mmap,C,8686,38.717566332348994,224.342613,1390.583870049999
no-mmap-a,no-mmap,A,8685,92.64579295614196,93.744138,475.3848765950006
no-mmap-a,no-mmap,B,8686,93.24808701860809,93.149364,475.3848765950006
no-mmap-a,no-mmap,C,8686,93.64118262021807,92.758333,475.3848765950006
no-mmap-b,no-mmap,C,8686,93.07605351918083,93.321533,475.47121167300065
no-mmap-b,no-mmap,B,8686,93.1914524404997,93.205973,475.47121167300065
no-mmap-b,no-mmap,A,8685,92.78853390558734,93.599927,475.47121167300065
mmap-loader-policy,mmap,A,8685,25.004582014078917,347.33634,1390.531426005
mmap-loader-policy,mmap,B,8686,25.316542397448295,343.095825,1390.531426005
mmap-loader-policy,mmap,C,8686,25.292190167103456,343.42617,1390.531426005
no-mmap-no-repack,no-mmap,C,8686,92.98031386454446,93.417624,475.4967705199997
no-mmap-no-repack,no-mmap,B,8686,92.92197405170457,93.476275,475.4967705199997
no-mmap-no-repack,no-mmap,A,8685,92.77157136380758,93.617041,475.4967705199997
no-mmap-thp-never,no-mmap,A,8685,101.44953691527877,85.609065,465.39972234000015
no-mmap-thp-never,no-mmap,B,8686,102.25865421253737,84.941466,465.39972234000015
no-mmap-thp-never,no-mmap,C,8686,102.55382157028248,84.69699,465.39972234000015
